# Best-fit model.
# Fit done at fixed cosmology (and biases):
# OmM=0.303377, H0=69.741410, lnA=2.853178.
#      ell        C_ell^gg        C_ell^kg
       398     1.11742e-05     7.98792e-08
       399     1.11616e-05     7.96486e-08
       400     1.11491e-05     7.94199e-08
       401     1.11368e-05     7.91928e-08
       402     1.11244e-05     7.89675e-08
       403     1.11122e-05     7.87438e-08
       404     1.11000e-05     7.85218e-08
       405     1.10879e-05     7.83014e-08
       406     1.10759e-05     7.80826e-08
       407     1.10639e-05     7.78654e-08
       408     1.10520e-05     7.76497e-08
       409     1.10402e-05     7.74355e-08
       410     1.10284e-05     7.72228e-08
       411     1.10168e-05     7.70116e-08
       412     1.10052e-05     7.68018e-08
       413     1.09936e-05     7.65934e-08
       414     1.09821e-05     7.63864e-08
       415     1.09707e-05     7.61808e-08
       416     1.09594e-05     7.59765e-08
       417     1.09481e-05     7.57735e-08
       418     1.09369e-05     7.55718e-08
       419     1.09257e-05     7.53713e-08
       420     1.09146e-05     7.51720e-08
       421     1.09036e-05     7.49740e-08
       422     1.08926e-05     7.47771e-08
       423     1.08817e-05     7.45814e-08
       424     1.08708e-05     7.43867e-08
       425     1.08600e-05     7.41932e-08
       426     1.08493e-05     7.40007e-08
       427     1.08386e-05     7.38093e-08
       428     1.08280e-05     7.36189e-08
       429     1.08174e-05     7.34294e-08
       430     1.08069e-05     7.32410e-08
       431     1.07965e-05     7.30535e-08
       432     1.07861e-05     7.28671e-08
       433     1.07757e-05     7.26816e-08
       434     1.07654e-05     7.24971e-08
       435     1.07552e-05     7.23136e-08
       436     1.07450e-05     7.21310e-08
       437     1.07349e-05     7.19495e-08
       438     1.07249e-05     7.17689e-08
       439     1.07148e-05     7.15893e-08
       440     1.07049e-05     7.14106e-08
       441     1.06950e-05     7.12329e-08
       442     1.06851e-05     7.10562e-08
       443     1.06753e-05     7.08805e-08
       444     1.06656e-05     7.07058e-08
       445     1.06559e-05     7.05320e-08
       446     1.06463e-05     7.03591e-08
       447     1.06367e-05     7.01873e-08
       448     1.06272e-05     7.00164e-08
       449     1.06177e-05     6.98464e-08
       450     1.06082e-05     6.96774e-08
       451     1.05989e-05     6.95094e-08
       452     1.05895e-05     6.93423e-08
       453     1.05803e-05     6.91762e-08
       454     1.05711e-05     6.90110e-08
       455     1.05619e-05     6.88468e-08
       456     1.05528e-05     6.86835e-08
       457     1.05437e-05     6.85212e-08
       458     1.05347e-05     6.83598e-08
       459     1.05257e-05     6.81994e-08
       460     1.05168e-05     6.80399e-08
       461     1.05079e-05     6.78814e-08
       462     1.04991e-05     6.77238e-08
       463     1.04903e-05     6.75671e-08
       464     1.04816e-05     6.74114e-08
       465     1.04729e-05     6.72566e-08
       466     1.04643e-05     6.71027e-08
       467     1.04557e-05     6.69497e-08
       468     1.04472e-05     6.67977e-08
       469     1.04387e-05     6.66466e-08
       470     1.04302e-05     6.64963e-08
       471     1.04219e-05     6.63470e-08
       472     1.04135e-05     6.61986e-08
       473     1.04052e-05     6.60511e-08
       474     1.03970e-05     6.59044e-08
       475     1.03887e-05     6.57587e-08
       476     1.03806e-05     6.56138e-08
       477     1.03725e-05     6.54698e-08
       478     1.03644e-05     6.53267e-08
       479     1.03563e-05     6.51845e-08
       480     1.03483e-05     6.50431e-08
       481     1.03404e-05     6.49025e-08
       482     1.03325e-05     6.47629e-08
       483     1.03246e-05     6.46241e-08
       484     1.03168e-05     6.44861e-08
       485     1.03090e-05     6.43489e-08
       486     1.03013e-05     6.42126e-08
       487     1.02936e-05     6.40772e-08
       488     1.02859e-05     6.39425e-08
       489     1.02783e-05     6.38087e-08
       490     1.02707e-05     6.36757e-08
       491     1.02632e-05     6.35435e-08
       492     1.02557e-05     6.34122e-08
       493     1.02482e-05     6.32816e-08
       494     1.02408e-05     6.31519e-08
       495     1.02334e-05     6.30229e-08
       496     1.02261e-05     6.28947e-08
       497     1.02188e-05     6.27674e-08
       498     1.02115e-05     6.26408e-08
       499     1.02043e-05     6.25149e-08
       500     1.01971e-05     6.23899e-08
       501     1.01899e-05     6.22656e-08
       502     1.01828e-05     6.21421e-08
       503     1.01757e-05     6.20193e-08
       504     1.01686e-05     6.18973e-08
       505     1.01616e-05     6.17761e-08
       506     1.01546e-05     6.16555e-08
       507     1.01477e-05     6.15357e-08
       508     1.01407e-05     6.14166e-08
       509     1.01339e-05     6.12982e-08
       510     1.01270e-05     6.11804e-08
       511     1.01202e-05     6.10634e-08
       512     1.01134e-05     6.09471e-08
       513     1.01067e-05     6.08314e-08
       514     1.00999e-05     6.07165e-08
       515     1.00933e-05     6.06021e-08
       516     1.00866e-05     6.04885e-08
       517     1.00800e-05     6.03755e-08
       518     1.00734e-05     6.02631e-08
       519     1.00668e-05     6.01513e-08
       520     1.00603e-05     6.00402e-08
       521     1.00538e-05     5.99297e-08
       522     1.00474e-05     5.98198e-08
       523     1.00409e-05     5.97105e-08
       524     1.00345e-05     5.96018e-08
       525     1.00282e-05     5.94937e-08
       526     1.00218e-05     5.93862e-08
       527     1.00155e-05     5.92792e-08
       528     1.00092e-05     5.91728e-08
       529     1.00030e-05     5.90670e-08
       530     9.99676e-06     5.89617e-08
       531     9.99057e-06     5.88570e-08
       532     9.98441e-06     5.87528e-08
       533     9.97827e-06     5.86491e-08
       534     9.97216e-06     5.85459e-08
       535     9.96608e-06     5.84433e-08
       536     9.96003e-06     5.83412e-08
       537     9.95401e-06     5.82395e-08
       538     9.94801e-06     5.81384e-08
       539     9.94204e-06     5.80377e-08
       540     9.93609e-06     5.79375e-08
       541     9.93018e-06     5.78378e-08
       542     9.92429e-06     5.77386e-08
       543     9.91842e-06     5.76398e-08
       544     9.91258e-06     5.75415e-08
       545     9.90677e-06     5.74437e-08
       546     9.90099e-06     5.73463e-08
       547     9.89523e-06     5.72494e-08
       548     9.88949e-06     5.71530e-08
       549     9.88378e-06     5.70570e-08
       550     9.87810e-06     5.69615e-08
       551     9.87244e-06     5.68664e-08
       552     9.86681e-06     5.67718e-08
       553     9.86120e-06     5.66777e-08
       554     9.85562e-06     5.65840e-08
       555     9.85006e-06     5.64907e-08
       556     9.84453e-06     5.63979e-08
       557     9.83902e-06     5.63055e-08
       558     9.83354e-06     5.62136e-08
       559     9.82808e-06     5.61221e-08
       560     9.82264e-06     5.60311e-08
       561     9.81723e-06     5.59405e-08
       562     9.81185e-06     5.58503e-08
       563     9.80648e-06     5.57605e-08
       564     9.80114e-06     5.56712e-08
       565     9.79583e-06     5.55823e-08
       566     9.79054e-06     5.54939e-08
       567     9.78527e-06     5.54058e-08
       568     9.78002e-06     5.53182e-08
       569     9.77480e-06     5.52310e-08
       570     9.76960e-06     5.51442e-08
       571     9.76442e-06     5.50578e-08
       572     9.75927e-06     5.49719e-08
       573     9.75414e-06     5.48863e-08
       574     9.74903e-06     5.48012e-08
       575     9.74394e-06     5.47165e-08
       576     9.73887e-06     5.46321e-08
       577     9.73383e-06     5.45482e-08
       578     9.72881e-06     5.44647e-08
       579     9.72381e-06     5.43816e-08
       580     9.71884e-06     5.42988e-08
       581     9.71388e-06     5.42165e-08
       582     9.70895e-06     5.41345e-08
       583     9.70403e-06     5.40530e-08
       584     9.69914e-06     5.39718e-08
       585     9.69427e-06     5.38910e-08
       586     9.68942e-06     5.38106e-08
       587     9.68459e-06     5.37306e-08
       588     9.67978e-06     5.36510e-08
       589     9.67500e-06     5.35717e-08
       590     9.67023e-06     5.34928e-08
       591     9.66548e-06     5.34143e-08
       592     9.66076e-06     5.33362e-08
       593     9.65605e-06     5.32584e-08
       594     9.65136e-06     5.31810e-08
       595     9.64670e-06     5.31039e-08
       596     9.64205e-06     5.30272e-08
       597     9.63742e-06     5.29509e-08
       598     9.63282e-06     5.28749e-08
       599     9.62823e-06     5.27993e-08
       600     9.62366e-06     5.27241e-08
       601     9.61911e-06     5.26492e-08
       602     9.61458e-06     5.25746e-08
       603     9.61007e-06     5.25004e-08
       604     9.60558e-06     5.24265e-08
       605     9.60111e-06     5.23530e-08
       606     9.59665e-06     5.22798e-08
       607     9.59222e-06     5.22069e-08
       608     9.58780e-06     5.21344e-08
       609     9.58340e-06     5.20622e-08
       610     9.57902e-06     5.19904e-08
       611     9.57465e-06     5.19189e-08
       612     9.57031e-06     5.18477e-08
       613     9.56598e-06     5.17768e-08
       614     9.56167e-06     5.17063e-08
       615     9.55738e-06     5.16360e-08
       616     9.55311e-06     5.15661e-08
       617     9.54885e-06     5.14965e-08
       618     9.54461e-06     5.14272e-08
       619     9.54039e-06     5.13583e-08
       620     9.53618e-06     5.12896e-08
       621     9.53199e-06     5.12213e-08
       622     9.52782e-06     5.11532e-08
       623     9.52366e-06     5.10855e-08
       624     9.51953e-06     5.10180e-08
       625     9.51540e-06     5.09509e-08
       626     9.51130e-06     5.08840e-08
       627     9.50721e-06     5.08175e-08
       628     9.50313e-06     5.07512e-08
       629     9.49908e-06     5.06853e-08
       630     9.49504e-06     5.06196e-08
       631     9.49101e-06     5.05542e-08
       632     9.48700e-06     5.04891e-08
       633     9.48301e-06     5.04242e-08
       634     9.47903e-06     5.03597e-08
       635     9.47506e-06     5.02954e-08
       636     9.47112e-06     5.02314e-08
       637     9.46719e-06     5.01677e-08
       638     9.46327e-06     5.01043e-08
       639     9.45937e-06     5.00411e-08
       640     9.45548e-06     4.99782e-08
       641     9.45161e-06     4.99156e-08
       642     9.44775e-06     4.98532e-08
       643     9.44391e-06     4.97912e-08
       644     9.44009e-06     4.97293e-08
       645     9.43627e-06     4.96678e-08
       646     9.43248e-06     4.96065e-08
       647     9.42870e-06     4.95454e-08
       648     9.42493e-06     4.94846e-08
       649     9.42118e-06     4.94241e-08
       650     9.41744e-06     4.93638e-08
       651     9.41371e-06     4.93038e-08
       652     9.41000e-06     4.92440e-08
       653     9.40631e-06     4.91845e-08
       654     9.40263e-06     4.91253e-08
       655     9.39896e-06     4.90662e-08
       656     9.39530e-06     4.90074e-08
       657     9.39167e-06     4.89489e-08
       658     9.38804e-06     4.88906e-08
       659     9.38443e-06     4.88325e-08
       660     9.38083e-06     4.87747e-08
       661     9.37724e-06     4.87171e-08
       662     9.37367e-06     4.86598e-08
       663     9.37012e-06     4.86026e-08
       664     9.36657e-06     4.85457e-08
       665     9.36304e-06     4.84891e-08
       666     9.35952e-06     4.84326e-08
       667     9.35602e-06     4.83764e-08
       668     9.35253e-06     4.83204e-08
       669     9.34905e-06     4.82646e-08
       670     9.34558e-06     4.82091e-08
       671     9.34213e-06     4.81538e-08
       672     9.33869e-06     4.80986e-08
       673     9.33526e-06     4.80437e-08
       674     9.33185e-06     4.79891e-08
       675     9.32845e-06     4.79346e-08
       676     9.32506e-06     4.78803e-08
       677     9.32168e-06     4.78262e-08
       678     9.31831e-06     4.77724e-08
       679     9.31496e-06     4.77187e-08
